name;abbr;state;year;fips;vmt;fatalityrate;sb_useage;speed65;speed70;drinkage21;ba08;income;age;primary;secondary;l_income
Alaska;AK;1;1983;2;3358;0.044669446;NA;0;0;1;0;17973;28.23496628;0;0;9.796625911
Alaska;AK;1;1984;2;3589;0.037336305;NA;0;0;1;0;18093;28.3435421;0;0;9.803280402
Alaska;AK;1;1985;2;3840;0.033072915;NA;0;0;1;0;18925;28.37281609;0;0;9.848239078
Alaska;AK;1;1986;2;4008;0.025199601;NA;0;0;1;0;18466;28.39665222;0;0;9.823686482
Alaska;AK;1;1987;2;3900;0.01948718;NA;0;0;1;0;18021;28.45325089;0;0;9.799293024
Alaska;AK;1;1988;2;3841;0.02525384;NA;0;0;1;0;18447;28.85141945;0;0;9.822657035
Alaska;AK;1;1989;2;3887;0.021610497;NA;0;0;1;0;19970;29.14895439;0;0;9.901986426
Alaska;AK;1;1990;2;3979;0.024629304;0.449999988;0;0;1;0;21073;29.58628464;0;0;9.955747879
Alaska;AK;1;1991;2;4021;0.025118129;0.660000026;0;0;1;0;21496;29.82771111;0;1;9.97562215
Alaska;AK;1;1992;2;3841;0.028117677;0.660000026;1;0;1;0;22073;30.21069717;0;1;10.00211042
Alaska;AK;1;1993;2;3918;0.030117407;0.689999998;1;0;1;0;22711;30.46438599;0;1;10.03060467
Alaska;AK;1;1994;2;4150;0.020481927;0.689999998;1;0;1;0;23417;30.75657082;0;1;10.06121753
Alaska;AK;1;1995;2;4123;0.02110114;0.689999998;1;0;1;0;23971;31.1785965;0;1;10.08460005
Alaska;AK;1;1996;2;4115;0.019684082;0.689999998;1;0;1;0;24310;31.44535446;0;1;10.09864307
Alaska;AK;1;1997;2;4387;0.017551858;0.689999998;1;0;1;0;24969;31.60147476;0;1;10.12539033
Alabama;AL;2;1983;1;31032;0.029969065;NA;0;0;0;0;9505;34.20064545;0;0;9.159573255
Alabama;AL;2;1984;1;32961;0.028275842;0.129999995;0;0;0;0;10417;34.42163086;0;0;9.251194366
Alabama;AL;2;1985;1;35091;0.025134649;0.170000002;0;0;1;0;11133;34.60256958;0;0;9.31766895
Alabama;AL;2;1986;1;34003;0.031791311;0.289999992;0;0;1;0;11736;34.76067352;0;0;9.37041632
Alabama;AL;2;1987;1;37426;0.029685246;0.209999993;1;0;1;0;12394;34.95565796;0;0;9.424967764
Alabama;AL;2;1988;1;39684;0.025803851;0.289999992;1;0;1;0;13288;35.13695526;0;0;9.494616651
Alabama;AL;2;1989;1;40765;0.025242243;0.379999995;1;0;1;0;14266;35.32785797;0;0;9.565634363
Alabama;AL;2;1990;1;42347;0.026471769;0.439999998;1;0;1;0;15213;35.6229248;0;0;9.629905604
Alabama;AL;2;1991;1;42924;0.025999442;0.469999999;1;0;1;0;15895;35.68873596;0;0;9.673759873
Alabama;AL;2;1992;1;45762;0.02252961;0.579999983;1;0;1;0;16817;35.83261871;0;1;9.730145559
Alabama;AL;2;1993;1;47337;0.022054629;0.550000012;1;0;1;0;17398;35.94825363;0;1;9.764110536
Alabama;AL;2;1994;1;48956;0.022121906;0.550000012;1;0;1;0;18163;36.0920105;0;1;9.807141837
Alabama;AL;2;1995;1;50628;0.022003634;0.519999981;1;1;1;1;19041;36.2057457;0;1;9.854349828
Alabama;AL;2;1996;1;51433;0.022281414;0.540000022;1;1;1;1;19838;36.38513184;0;1;9.895354569
Alabama;AL;2;1997;1;53458;0.022297878;0.519999981;1;1;1;1;20672;36.50072098;0;1;9.936535407
Arkansas;AR;3;1983;5;16684;0.033385281;NA;0;0;1;0;9267;35.42213821;0;0;9.134214982
Arkansas;AR;3;1984;5;16621;0.031586547;NA;0;0;1;0;10263;35.56396484;0;0;9.236300474
Arkansas;AR;3;1985;5;17112;0.031206172;NA;0;0;1;0;10919;35.6919136;0;0;9.29825967
Arkansas;AR;3;1986;5;17555;0.034349188;0.197999999;0;0;1;0;11409;35.86726761;0;0;9.342157797
